Steel Type,Heat,Reduction Ratio,dA,dB,dC,Fe,C,Si,Mn,P,S,Ni,Cr,Cu,Mo,Al,N,Ti,O,Normalizing Temp,Normalizing Time,Normalizing Temp*log(time),Quenching Temp,Quenching Time,Quenching Tlog(t),Tempering Temp,Tempering Time,Tempering Tlog(t),Fatigue strength
SUJ2 Steel,A,0,0.01,0,0,97.013,1,0.18,0.36,0.014,0.003,0,1.43,0,0,0,0,0,0,0,0,0,840,0.5,1240.781854,180,1.5,351.7636517,580
,B,0,0.01,0,0,96.857,1.01,0.25,0.37,0.017,0.006,0,1.49,0,0,0,0,0,0,0,0,0,840,0.5,1240.781854,180,1.5,351.7636517,660
,C,0,0.01,0,0,97.103,0.99,0.22,0.25,0.014,0.003,0,1.42,0,0,0,0,0,0,0,0,0,840,0.5,1240.781854,180,1.5,351.7636517,660
S25C Steel 1,A,825,0.07,0.02,0.04,99.011,0.26,0.21,0.44,0.017,0.022,0.01,0.02,0.01,0,0,0,0,0,885,0.5,1307.25231,0,0,0,0,0,0,232
,B,610,0.11,0,0.04,98.824,0.25,0.18,0.44,0.009,0.017,0.08,0.12,0.08,0,0,0,0,0,885,0.5,1307.25231,0,0,0,0,0,0,235
,C,1270,0.07,0.02,0,98.957,0.26,0.27,0.43,0.008,0.015,0.02,0.03,0.01,0,0,0,0,0,885,0.5,1307.25231,0,0,0,0,0,0,235
,D,1740,0.06,0,0,98.918,0.26,0.23,0.51,0.018,0.024,0.01,0.02,0.01,0,0,0,0,0,885,0.5,1307.25231,0,0,0,0,0,0,241
,E,825,0.04,0.02,0,99.072,0.22,0.19,0.42,0.026,0.022,0.01,0.02,0.02,0,0,0,0,0,885,0.5,1307.25231,0,0,0,0,0,0,225
,F,825,0.06,0.02,0.02,98.918,0.26,0.22,0.45,0.026,0.026,0.02,0.05,0.03,0,0,0,0,0,885,0.5,1307.25231,0,0,0,0,0,0,245
,H,1270,0.08,0.01,0,98.851,0.28,0.27,0.5,0.021,0.018,0.02,0.03,0.01,0,0,0,0,0,885,0.5,1307.25231,0,0,0,0,0,0,255
,I,1740,0.07,0,0,98.849,0.27,0.25,0.54,0.02,0.021,0.01,0.02,0.02,0,0,0,0,0,885,0.5,1307.25231,0,0,0,0,0,0,245
,J,610,0.08,0,0.04,98.842,0.27,0.23,0.37,0.008,0.03,0.06,0.1,0.09,0,0,0,0,0,885,0.5,1307.25231,0,0,0,0,0,0,275
,K,1270,0.04,0.03,0,98.956,0.22,0.26,0.47,0.021,0.023,0.02,0.02,0.01,0,0,0,0,0,885,0.5,1307.25231,0,0,0,0,0,0,239
,L,1740,0.11,0,0,98.877,0.23,0.26,0.51,0.029,0.024,0.01,0.03,0.03,0,0,0,0,0,885,0.5,1307.25231,0,0,0,0,0,0,255
S25C Steel 2,D,63,0.06,0,0,98.918,0.26,0.23,0.51,0.018,0.024,0.01,0.02,0.01,0,0,0,0,0,885,0.5,1307.25231,0,0,0,0,0,0,200
,E,65,0.04,0.02,0,99.072,0.22,0.19,0.42,0.026,0.022,0.01,0.02,0.02,0,0,0,0,0,885,0.5,1307.25231,0,0,0,0,0,0,190
,J,60,0.08,0,0.04,98.833,0.27,0.24,0.37,0.009,0.028,0.06,0.1,0.09,0,0,0,0,0,885,0.5,1307.25231,0,0,0,0,0,0,240
S35C Steel 1,A,825,0.05,0.03,0,98.587,0.35,0.21,0.77,0.021,0.022,0.01,0.01,0.02,0,0,0,0,0,865,0.3,1085.810717,865,0.5,1277.709885,600,1,1066.89075,382
,B,1270,0.07,0.02,0,98.449,0.35,0.3,0.74,0.017,0.024,0.01,0.1,0.01,0,0,0,0,0,865,0.3,1085.810717,865,0.5,1277.709885,600,1,1066.89075,385
,C,1740,0.08,0,0,98.593,0.34,0.26,0.74,0.012,0.015,0.01,0.02,0.01,0,0,0,0,0,865,0.3,1085.810717,865,0.5,1277.709885,600,1,1066.89075,365
,D,610,0.07,0,0.03,98.358,0.36,0.26,0.7,0.009,0.023,0.08,0.12,0.09,0,0,0,0,0,865,0.3,1085.810717,865,0.5,1277.709885,600,1,1066.89075,376
,E,825,0.08,0,0,98.6,0.33,0.21,0.75,0.031,0.019,0.01,0.03,0.02,0,0,0,0,0,865,0.3,1085.810717,865,0.5,1277.709885,600,1,1066.89075,377
,F,610,0.06,0.01,0.01,98.33,0.38,0.29,0.7,0.01,0.03,0.06,0.09,0.11,0,0,0,0,0,865,0.3,1085.810717,865,0.5,1277.709885,600,1,1066.89075,394
,G,1270,0.08,0.02,0,98.474,0.33,0.26,0.76,0.023,0.013,0.01,0.1,0.03,0,0,0,0,0,865,0.3,1085.810717,865,0.5,1277.709885,600,1,1066.89075,425
,H,1740,0.06,0,0,98.586,0.32,0.26,0.73,0.015,0.019,0.02,0.02,0.03,0,0,0,0,0,865,0.3,1085.810717,865,0.5,1277.709885,600,1,1066.89075,395
,I,1270,0.13,0.01,0,98.404,0.37,0.27,0.78,0.016,0.02,0.01,0.11,0.02,0,0,0,0,0,865,0.3,1085.810717,865,0.5,1277.709885,600,1,1066.89075,393
,J,825,0.07,0.04,0,98.491,0.35,0.25,0.82,0.016,0.023,0.03,0.01,0.01,0,0,0,0,0,865,0.3,1085.810717,865,0.5,1277.709885,600,1,1066.89075,375
,K,1740,0.1,0,0,27.295,0.37,0.24,72,0.015,0.02,0.02,0.02,0.02,0,0,0,0,0,865,0.3,1085.810717,865,0.5,1277.709885,600,1,1066.89075,389
